,comment~~~
0,下饭
1,久违了！
2,为了故事好卖
3,圣魔之血，我吹爆
4,来了来了
5,哪里枯燥了啊喂
6,圣魔之血，可惜作者死的早啊
7,。。。。。。。。。。
8,绝了，祖先美德了
9,哈？
10,祖先在这里美德了
11,祖先美德了...........
12,-+
13,等好久了，还以为没了
14,求问这张图出自哪里？？？？
15,让我看看
16,先祖还美德了
17,让人发狂之后产生美德的祖先是屑
18,Hellsing
19,早上好
20,祖先一般都很厉害，比如乔纳森乔斯达
21,地狱之歌我吹爆
22,终于等到你。
23,小黑的下饭时间
24,那么代价是什么
25,摩尔庄园？
26,这可不是美德…
27,祖先大魔说
28,圣魔之血好评，就是烂尾方式不能接受T_T
29,曼光头
30,确定不是梅毒吗
31,蕾米芙兰
32,一旦知道 非洲警告
33,又到了我最喜欢的下饭环节
34,来了，饭都准备好了
35,赶快3连
36,疯狂明示！
37,这一切
38,阿尔塔里斯，我最勇猛的开矿者
39,233
40,来了
41,先祖也是折磨，但是先祖知识量太大，折磨对他来说等同于美德
42,下饭
43,畸ji 形
44,又tm封印祸害后代？
45,这货就是个变态
46,下饭视频
47,小刀砍头？西巴
48,猩红诅咒，我第一次玩的痛
49,别说了，我宁愿去刷庭院
50,一刀400血
51,有趣的女人
52,夫人我想……
53,洛基？
54,色孽神选小黑
55,曼’光头
56,233
57,四血怒爆发队
58,那个牧师怕不是会把你烧成灰
59,哪里的血？开车吗？
60,不是，是猩红庄园
61,圣魔之血
62,开饭了
63,苏菲
64,哈哈哈哈哈
65,???
66,原来是这样……我说 血酿 怎么这么多……
67,小黑你San值没了。
68,睡前小故事
69,下饭
70,计划好了，血酿不足，在boss门口修女渴死了，瞬间San直葬………
71,粗鄙之语
72,牛！祖先的血统查一下。
73,美德的白色，折磨的尖刺，这是觉醒
74,祖先才是真正的怪物呀
75,猩红山庄
76,老祖宗牛逼
77,怎么感觉up刚刚好愉悦啊。。。
78,十分战锤
79,小黑我来了！！！
80,审判官来了
81,巫师
82,？？？
83,这怎么玩？
84,大龙娘，枪大公
85,233333
86,女警
87,@朱一旦的枯燥生活
88,DIO!
89,！！！！
90,太惨了
91,冯卡斯登
92,哈哈哈。。。
93,好呀
94,下饭下饭
95,祖先好强啊
96,带恶人
97,你san值掉了
98,san直葬
99,蕾米莉亚
100,画风怎么不一样了？
101,已三连
102,先祖的小刀：对伯爵夫人＋400%反击伤害
103,l龙娘最高
104,抖森！！！
105,laila  lailal
106,gkdgkd
107,！
108,来啦  来啦
109,天台solo
110,加百列·贝尔蒙特
111,老兵美德坚定！
112,这么大。，。。
113,这个男仆。。。
114,三连再看
115,多刷几次酿酒师储备就好了。。下一次能带回来两三组血酿
116,巧了，我两个都有
117,美丽的仪表和精美的华服，然后看看曼光头....
118,不好
119,逐渐变态，2333
120,dark♂地牢
121,这个鳄鱼是真的难打
122,血光。。加压力伤害。我第一次下本带个水晶饰品弩手 控压全靠狗哥。。
123,男爵之后那个图比这个还夸张
124,棒棒鸭
125,讲个笑话，大乔是jo家实力基本垫底的233
126,终于来辣
127,还有脸回来
128,狂信者就相当于战锤里的星际战士，你的队友就是普通新界军
